date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-12-17,11720.0,56270.0,3296.0,24113.0,20401.0,22653.0,4108.0,18114.0
2020-12-18,11860.0,57136.0,3362.0,24401.0,20679.0,23442.0,4224.0,18451.0
2020-12-19,12030.0,57785.0,3402.0,24740.0,20679.0,23596.0,4277.0,18598.0
2020-12-20,12030.0,57785.0,3402.0,24927.0,20679.0,23866.0,4318.0,18598.0
2020-12-21,12213.0,58749.0,3459.0,25053.0,21179.0,24008.0,4354.0,18985.0
2020-12-22,12324.0,58970.0,3493.0,25258.0,21329.0,24154.0,4376.0,19180.0
2020-12-23,12477.0,59385.0,3560.0,25601.0,21573.0,24495.0,4431.0,19431.0
2020-12-24,12580.0,59896.0,3622.0,26000.0,21795.0,24495.0,4495.0,19764.0
2020-12-25,12580.0,59896.0,3622.0,26371.0,21795.0,24495.0,4544.0,19764.0
2020-12-26,12836.0,60695.0,3729.0,26525.0,21795.0,25271.0,4595.0,19981.0
2020-12-27,12836.0,60695.0,3729.0,26673.0,21795.0,25358.0,4633.0,19981.0
2020-12-28,12948.0,61150.0,3757.0,26774.0,22484.0,25525.0,4654.0,20320.0
2020-12-29,13064.0,61457.0,3787.0,27144.0,22654.0,25802.0,4682.0,20412.0
2020-12-30,13172.0,61712.0,3806.0,27367.0,22801.0,25949.0,4714.0,20748.0
2020-12-31,13344.0,62582.0,3887.0,27620.0,23189.0,26174.0,4776.0,21053.0
2021-01-01,13344.0,62582.0,3887.0,28056.0,23189.0,26174.0,4861.0,21053.0
2021-01-02,13344.0,62582.0,3887.0,28367.0,23189.0,27183.0,4888.0,21411.0
2021-01-03,13932.0,65267.0,4004.0,28556.0,23189.0,27377.0,4944.0,21411.0
2021-01-04,14092.0,65572.0,4034.0,28720.0,24162.0,27566.0,5004.0,21744.0
2021-01-05,14431.0,65836.0,4076.0,28928.0,24464.0,27922.0,5055.0,21902.0
2021-01-06,14531.0,66288.0,4136.0,29171.0,24619.0,28191.0,5107.0,22117.0
2021-01-07,14657.0,67000.0,4203.0,29473.0,24939.0,28604.0,5136.0,22441.0
2021-01-08,14846.0,67934.0,4271.0,29980.0,25217.0,29209.0,5269.0,22769.0
2021-01-09,15010.0,68801.0,4355.0,30345.0,25217.0,29471.0,5350.0,22992.0
2021-01-10,15010.0,68801.0,4355.0,30508.0,25217.0,29726.0,5433.0,22992.0
2021-01-11,15301.0,70061.0,4450.0,30788.0,26136.0,29953.0,5456.0,23256.0
2021-01-12,15590.0,70547.0,4490.0,30930.0,26304.0,30436.0,5508.0,23369.0
2021-01-13,15617.0,71108.0,4516.0,31352.0,26435.0,30674.0,5561.0,23534.0
2021-01-14,15734.0,71648.0,4595.0,31533.0,26574.0,31016.0,5627.0,23755.0
2021-01-15,15873.0,72255.0,4641.0,31805.0,26706.0,31252.0,5677.0,23901.0
2021-01-16,15873.0,72255.0,4641.0,32005.0,26706.0,31399.0,5727.0,24112.0
2021-01-17,16125.0,73017.0,4701.0,32163.0,26706.0,31648.0,5785.0,24112.0
2021-01-18,16125.0,73017.0,4701.0,32292.0,26706.0,31741.0,5829.0,24112.0
2021-01-19,16300.0,73669.0,4748.0,32469.0,27339.0,32031.0,5850.0,24401.0
2021-01-20,16485.0,74079.0,4801.0,32765.0,27462.0,32124.0,5899.0,24459.0
2021-01-21,16506.0,74502.0,4846.0,33069.0,27582.0,32276.0,5973.0,24627.0
2021-01-22,16639.0,74953.0,4893.0,33363.0,27650.0,32634.0,6062.0,24751.0
2021-01-23,16786.0,75435.0,4924.0,33491.0,27650.0,32782.0,6093.0,24886.0
