date,California,Florida,Illinois,Indiana,Maryland,Massachusetts,Nevada,New York,North Carolina,Oregon,Pennsylvania,Washington,CAN,GBR,ITA,0
2020-07-06,277869.0,206439.0,149428.0,49560.0,70497.0,110137.0,22930.0,402338.0,74933.0,10413.0,95187.0,38517.0,107815.0,287290.0,241819.0,210790.0
2020-07-07,287766.0,213786.0,150110.0,49859.0,70986.0,110338.0,23848.0,402928.0,76188.0,10654.0,95986.0,39063.0,108023.0,287874.0,241956.0,218143.0
2020-07-08,296304.0,223775.0,151055.0,50309.0,71455.0,110602.0,24378.0,403619.0,77661.0,10872.0,96817.0,39661.0,108334.0,288511.0,242149.0,224451.0
2020-07-09,303516.0,232710.0,152188.0,50829.0,72037.0,110897.0,25055.0,404207.0,79564.0,11247.0,97634.0,40369.0,108656.0,289154.0,242363.0,229391.0
2020-07-10,311505.0,244143.0,153406.0,51567.0,72503.0,111110.0,25961.0,404997.0,81737.0,11501.0,98574.0,41090.0,108984.0,289678.0,242639.0,234853.0
2020-07-11,320030.0,254503.0,154530.0,52358.0,73060.0,111398.0,26912.0,405724.0,83996.0,11851.0,99252.0,41326.0,109150.0,290504.0,242827.0,241435.0
2020-07-12,327676.0,269803.0,155355.0,52892.0,73705.0,111597.0,27745.0,406403.0,85831.0,12170.0,99794.0,42181.0,109348.0,291154.0,243061.0,247105.0
2020-07-13,336206.0,282427.0,156288.0,53327.0,74124.0,111827.0,28597.0,406962.0,87653.0,12511.0,100378.0,43538.0,109984.0,291691.0,243230.0,252567.0
2020-07-14,346593.0,291621.0,157055.0,54001.0,74836.0,112130.0,29669.0,407875.0,89767.0,12834.0,101360.0,44257.0,110350.0,292931.0,243344.0,260215.0
2020-07-15,355497.0,301802.0,158451.0,54698.0,75576.0,112347.0,30587.0,408709.0,91573.0,13129.0,102361.0,45004.0,110693.0,293469.0,243506.0,266694.0
2020-07-16,364761.0,315767.0,159676.0,55413.0,76237.0,112581.0,32024.0,409476.0,93657.0,13541.0,103169.0,46268.0,111144.0,294116.0,243736.0,273733.0
2020-07-17,374922.0,327233.0,161042.0,56160.0,76941.0,112879.0,33372.0,410254.0,95633.0,13842.0,104172.0,47226.0,111559.0,294803.0,243967.0,280686.0
2020-07-18,383194.0,337561.0,162299.0,57045.0,77773.0,113238.0,34606.0,411006.0,98067.0,14231.0,104780.0,47889.0,111875.0,295632.0,244216.0,286921.0
2020-07-19,391460.0,350039.0,163284.0,57965.0,78698.0,113534.0,35826.0,411515.0,99841.0,14586.0,105384.0,48601.0,112168.0,296358.0,244434.0,293007.0
2020-07-20,400195.0,360386.0,164552.0,58607.0,79251.0,113789.0,36805.0,412034.0,101176.0,14907.0,106498.0,49949.0,112938.0,296944.0,244624.0,298567.0
2020-07-21,410366.0,369826.0,165534.0,59344.0,80111.0,114033.0,37605.0,412889.0,103047.0,15257.0,107460.0,50746.0,113473.0,297389.0,244752.0,305566.0
2020-07-22,422528.0,379611.0,167142.0,60126.0,80738.0,114320.0,38759.0,413595.0,105138.0,15436.0,108267.0,51442.0,113790.0,297952.0,245032.0,313532.0
2020-07-23,433175.0,389860.0,168766.0,61079.0,81396.0,114647.0,40088.0,414405.0,107050.0,15765.0,109153.0,52255.0,114398.0,298731.0,245338.0,320710.0
2020-07-24,443096.0,402304.0,170376.0,62081.0,82326.0,114985.0,41013.0,415163.0,109206.0,16172.0,110342.0,53278.0,115115.0,299500.0,245590.0,327208.0
2020-07-25,453327.0,414503.0,171669.0,63030.0,83617.0,115268.0,41993.0,415911.0,111282.0,16492.0,111121.0,53883.0,115470.0,300270.0,245864.0,335565.0
2020-07-26,459338.0,423847.0,173079.0,63881.0,84306.0,115637.0,42919.0,416443.0,112802.0,16764.0,111773.0,54421.0,115789.0,301020.0,246118.0,339650.0
2020-07-27,467103.0,432739.0,174442.0,64417.0,85436.0,115926.0,43880.0,417056.0,114612.0,17122.0,112995.0,55547.0,116471.0,301708.0,246286.0,344408.0
2020-07-28,474951.0,441969.0,175588.0,65258.0,86091.0,116182.0,44991.0,417591.0,116300.0,17419.0,114129.0,56575.0,116871.0,302261.0,246488.0,349311.0
2020-07-29,486039.0,451415.0,176967.0,65918.0,86846.0,116684.0,45937.0,418302.0,118027.0,17805.0,114984.0,57299.0,117357.0,303063.0,246776.0,356896.0
2020-07-30,494269.0,461371.0,178832.0,66883.0,87740.0,117098.0,47034.0,419081.0,120391.0,18166.0,115853.0,58099.0,117677.0,303910.0,247158.0,362524.0
2020-07-31,502273.0,470378.0,180701.0,67800.0,88907.0,117612.0,48142.0,419723.0,122370.0,18510.0,116787.0,58725.0,118281.0,304793.0,247537.0,367644.0
2020-08-01,509507.0,480020.0,182232.0,68773.0,89925.0,118040.0,49207.0,420477.0,124015.0,18817.0,117468.0,59648.0,118523.0,305562.0,247832.0,372623.0
2020-08-02,515937.0,487124.0,183714.0,69531.0,90835.0,118458.0,50270.0,421008.0,125281.0,19097.0,118038.0,60160.0,118768.0,306309.0,248070.0,376987.0
2020-08-03,522235.0,491876.0,185238.0,70111.0,91705.0,118657.0,51236.0,421550.0,126748.0,19395.0,118937.0,61011.0,118973.0,307251.0,248229.0,381098.0
2020-08-04,527258.0,497322.0,186598.0,70944.0,92416.0,119203.0,52256.0,422296.0,128236.0,19700.0,119765.0,61828.0,119659.0,307926.0,248419.0,384306.0
2020-08-05,532776.0,502731.0,188474.0,71685.0,93000.0,119643.0,52919.0,422935.0,129454.0,19979.0,120492.0,62389.0,120033.0,308832.0,248803.0,387872.0
2020-08-06,541013.0,510381.0,190465.0,72741.0,93598.0,119874.0,53705.0,423629.0,131478.0,20250.0,121294.0,63056.0,120387.0,309796.0,249204.0,393569.0
2020-08-07,548142.0,518067.0,192482.0,73986.0,94395.0,120291.0,54633.0,424349.0,133033.0,20658.0,122078.0,63975.0,120903.0,310696.0,249756.0,398751.0
2020-08-08,556158.0,526569.0,194531.0,75025.0,95157.0,120711.0,55481.0,425055.0,134915.0,21011.0,122666.0,64346.0,121148.0,311461.0,250103.0,404056.0
2020-08-09,563244.0,532798.0,195897.0,76071.0,96065.0,121040.0,56278.0,425568.0,136250.0,21272.0,123312.0,65248.0,121367.0,312574.0,250566.0,408638.0
2020-08-10,574267.0,536953.0,197326.0,76734.0,96821.0,121315.0,57022.0,426046.0,137006.0,21488.0,124269.0,66225.0,122053.0,313392.0,250825.0,414081.0
2020-08-11,586078.0,542784.0,198919.0,77625.0,97403.0,121707.0,57608.0,426713.0,138074.0,21782.0,125061.0,66619.0,122389.0,314542.0,251237.0,420414.0
2020-08-12,595097.0,550893.0,200648.0,78337.0,97959.0,122000.0,58132.0,427419.0,139413.0,22029.0,125965.0,67170.0,122703.0,315581.0,251713.0,425614.0
2020-08-13,603212.0,557129.0,202577.0,79404.0,98728.0,122423.0,58812.0,428155.0,141006.0,22315.0,126950.0,68095.0,123180.0,316729.0,252235.0,429523.0
2020-08-14,613243.0,563277.0,204827.0,80507.0,99430.0,122728.0,59800.0,428879.0,142544.0,22614.0,127774.0,68581.0,123605.0,318190.0,252809.0,435482.0
2020-08-15,621981.0,569629.0,206505.0,81561.0,100237.0,123199.0,60648.0,429617.0,143956.0,23018.0,128531.0,69136.0,123825.0,319232.0,253438.0,440812.0
2020-08-16,628508.0,573408.0,208068.0,82304.0,100772.0,123593.0,61374.0,430226.0,145111.0,23262.0,129075.0,69894.0,124004.0,320343.0,253915.0,444157.0
2020-08-17,634991.0,576086.0,209942.0,82909.0,101276.0,123841.0,62022.0,430636.0,145942.0,23461.0,129686.0,70509.0,124218.0,321064.0,254235.0,447742.0
2020-08-18,640499.0,579924.0,211806.0,83799.0,101780.0,124063.0,62752.0,431298.0,147141.0,23685.0,130286.0,71032.0,125084.0,322177.0,254636.0,450587.0
2020-08-19,646742.0,584039.0,213888.0,84308.0,102215.0,124415.0,63127.0,431924.0,148491.0,23887.0,130950.0,71594.0,125408.0,323008.0,255278.0,454398.0
2020-08-20,653401.0,588594.0,215889.0,85257.0,102783.0,124728.0,63699.0,432523.0,150422.0,24176.0,131736.0,72284.0,125625.0,324203.0,256118.0,457808.0
2020-08-21,659991.0,593278.0,218111.0,86312.0,103461.0,125216.0,64573.0,433230.0,152344.0,24435.0,132461.0,72787.0,126319.0,325263.0,257065.0,461848.0
2020-08-22,665325.0,597589.0,220459.0,87325.0,104040.0,125360.0,65150.0,433881.0,153966.0,24711.0,133160.0,73353.0,126560.0,326595.0,258136.0,465305.0
2020-08-23,669944.0,600563.0,222292.0,87942.0,104618.0,125360.0,65678.0,434462.0,155390.0,24938.0,133679.0,73745.0,126817.0,327643.0,259345.0,468073.0
2020-08-24,676236.0,602821.0,224056.0,89602.0,105168.0,126022.0,66073.0,434866.0,156927.0,25174.0,134246.0,74292.0,127594.0,328620.0,260298.0,471271.0
